SBD,Toan,Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,DTBTN,Lich Su,Dia Ly,GDCD,DTBXH
52000088,7.40,6.50,6.80,7.50,4.00,6.00,5.83,,,,
52000089,4.80,5.00,4.60,,,,,7.25,6.25,8.25,7.25
52000090,8.20,7.50,9.60,,,,,8.25,7.25,9.00,8.17
52000091,7.40,7.50,7.00,2.25,6.25,8.75,5.75,,,,
52000092,8.20,7.00,,5.50,9.00,8.00,7.50,,,,
52000093,8.60,7.75,7.80,7.75,5.75,7.75,7.08,,,,
52000094,6.60,7.25,7.20,,,,,8.25,8.00,9.25,8.50
52000095,8.60,9.00,9.80,9.75,7.50,8.00,8.42,,,,
52000096,7.80,7.50,9.60,,,,,8.00,7.00,9.75,8.25
52000097,7.60,7.75,5.20,4.25,6.75,8.00,6.33,,,,
52000098,7.40,6.50,9.60,,,,,7.00,8.00,9.50,8.17
52000099,8.00,7.00,,6.00,7.50,6.25,6.58,,,,
52000100,7.20,6.00,5.20,,,,,6.00,5.25,9.25,6.83
52000101,6.40,3.00,4.60,,,,,3.75,6.00,7.50,5.75
52000102,7.80,8.25,9.00,,,,,6.25,6.00,9.25,7.17
52000103,7.40,6.00,5.60,5.75,8.00,6.50,6.75,,,,
52000104,8.60,6.75,,6.00,8.75,8.75,7.83,,,,
52000105,8.20,8.25,8.80,7.50,9.00,7.25,7.92,,,,
52000106,7.40,7.25,7.80,,,,,7.25,7.00,8.75,7.67
52000107,8.20,6.75,8.00,7.00,3.75,6.00,5.58,,,,
52000108,7.20,5.00,7.60,5.50,6.50,5.00,5.67,,,,
52000109,7.00,7.25,9.40,,,,,7.50,6.50,9.00,7.67
52000110,5.20,6.25,2.20,,,,,3.25,5.50,6.50,5.08
52000111,8.20,8.50,9.20,6.50,5.75,7.00,6.42,,,,
52000112,6.80,7.00,6.80,,,,,6.25,6.25,8.75,7.08
52000113,7.60,6.50,,4.50,5.50,7.50,5.83,,,,
52000114,7.40,7.00,8.00,,,,,7.75,6.00,9.50,7.75
52000115,6.40,7.25,3.80,,,,,7.25,5.50,9.50,7.42
52000116,6.20,7.00,6.60,,,,,7.00,6.00,8.50,7.17
52000117,7.80,6.75,4.60,5.25,6.00,6.00,5.75,,,,
52000118,7.80,7.25,6.20,7.75,5.75,6.75,6.75,,,,
52000119,7.20,8.00,6.60,,,,,6.25,7.50,10.00,7.92
52000120,7.20,8.25,9.40,,,,,8.50,7.25,9.25,8.33
52000121,6.60,7.25,7.20,7.00,7.75,4.75,6.50,,,,
52000122,8.20,8.00,8.60,,,,,6.75,6.25,9.00,7.33
52000123,7.60,6.50,6.40,5.50,6.25,5.00,5.58,,,,
52000124,7.40,8.50,8.60,,,,,8.00,7.00,9.50,8.17
52000125,8.60,8.00,10.00,,,,,8.25,7.50,9.25,8.33
52000126,8.60,6.50,,8.25,7.00,5.50,6.92,,,,
52000127,7.60,7.25,8.60,8.25,7.00,8.00,7.75,,,,
52000128,6.60,7.25,7.20,,,,,8.25,6.75,9.00,8.00
52000129,8.00,6.25,7.80,6.00,5.75,6.00,5.92,,,,
52000130,6.80,6.00,8.00,,,,,7.25,5.50,9.25,7.33
52000131,6.20,5.75,6.40,,,,,7.50,5.75,8.50,7.25
52000132,7.60,3.25,4.60,5.00,7.25,6.25,6.17,,,,
52000133,6.80,6.25,5.20,,,,,7.00,5.75,8.25,7.00
52000134,7.40,6.25,8.40,8.00,7.25,7.00,7.42,,,,
52000135,8.40,7.25,8.60,7.25,8.75,7.50,7.83,,,,
52000136,7.80,6.00,6.80,5.75,6.25,7.00,6.33,,,,
52000137,7.40,5.75,5.80,5.75,6.25,3.75,5.25,,,,
52000138,7.60,5.50,3.80,7.00,4.25,6.00,5.75,,,,
52000139,6.00,5.00,4.20,,,,,6.00,6.50,8.75,7.08
52000140,7.20,6.75,5.20,5.75,4.75,5.25,5.25,,,,
52000141,6.20,6.00,5.40,4.25,4.50,6.00,4.92,,,,
52000142,6.80,6.25,6.60,,,,,7.00,7.25,7.00,7.08
52000143,8.00,6.50,9.60,7.75,6.50,7.25,7.17,,,,
52000144,7.40,5.50,9.00,7.00,7.50,7.25,7.25,,,,
52000145,7.80,5.75,7.60,6.75,6.75,7.25,6.92,,,,
52000146,8.20,7.00,5.60,6.50,8.25,6.50,7.08,,,,
52000147,5.60,4.50,7.40,,,,,6.75,6.75,8.25,7.25
52000148,7.80,6.25,6.60,7.75,7.50,7.00,7.42,,,,
52000149,7.20,6.25,8.20,,,,,9.25,8.00,9.50,8.92
52000150,8.20,8.00,8.80,,,,,7.25,8.00,9.25,8.17
52000151,7.80,6.00,5.60,7.75,7.25,5.75,6.92,,,,
52000152,6.40,5.00,4.60,4.25,6.25,5.75,5.42,,,,
52000153,6.60,7.00,8.00,,,,,8.75,7.50,9.75,8.67
52000154,6.60,5.00,6.40,,,,,5.75,7.00,8.25,7.00
52000155,4.60,4.25,3.80,,,,,4.00,6.00,8.00,6.00
52000156,7.80,5.25,8.80,7.00,6.25,7.00,6.75,,,,
52000157,7.60,5.25,8.20,5.75,7.50,7.00,6.75,,,,
52000158,8.20,6.50,9.60,8.75,5.75,7.25,7.25,,,,
52000159,7.40,6.75,,8.00,5.50,7.00,6.83,,,,
52000160,6.60,6.50,7.80,6.00,6.25,5.75,6.00,,,,
52000161,6.40,7.00,4.00,,,,,6.50,7.25,9.25,7.67
52000162,6.80,4.75,2.60,5.25,3.25,5.50,4.67,,,,
52000163,5.60,6.75,3.60,,,,,5.00,5.25,6.75,5.67
52000164,6.40,6.50,6.40,,,,,5.25,5.75,8.75,6.58
52000165,7.60,6.75,7.40,8.00,4.75,5.75,6.17,,,,
52000166,8.60,6.50,8.00,8.50,8.00,6.25,7.58,,,,
52000167,8.80,7.50,,7.50,7.50,7.50,7.50,,,,
52000168,7.60,6.50,,6.00,4.00,7.00,5.67,,,,
52000169,6.80,5.50,3.60,7.25,7.25,5.50,6.67,,,,
