SBD,Toan,Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,DTBTN,Lich Su,Dia Ly,GDCD,DTBXH
52000088,7.4,6.5,6.8,7.5,4.0,6.0,5.83,,,,
52000089,4.8,5.0,4.6,,,,,7.25,6.25,8.25,7.25
52000090,8.2,7.5,9.6,,,,,8.25,7.25,9.0,8.17
52000091,7.4,7.5,7.0,2.25,6.25,8.75,5.75,,,,
52000092,8.2,7.0,,5.5,9.0,8.0,7.5,,,,
52000093,8.6,7.75,7.8,7.75,5.75,7.75,7.08,,,,
52000094,6.6,7.25,7.2,,,,,8.25,8.0,9.25,8.5
52000095,8.6,9.0,9.8,9.75,7.5,8.0,8.42,,,,
52000096,7.8,7.5,9.6,,,,,8.0,7.0,9.75,8.25
52000097,7.6,7.75,5.2,4.25,6.75,8.0,6.33,,,,
52000098,7.4,6.5,9.6,,,,,7.0,8.0,9.5,8.17
52000099,8.0,7.0,,6.0,7.5,6.25,6.58,,,,
52000100,7.2,6.0,5.2,,,,,6.0,5.25,9.25,6.83
52000101,6.4,3.0,4.6,,,,,3.75,6.0,7.5,5.75
52000102,7.8,8.25,9.0,,,,,6.25,6.0,9.25,7.17
52000103,7.4,6.0,5.6,5.75,8.0,6.5,6.75,,,,
52000104,8.6,6.75,,6.0,8.75,8.75,7.83,,,,
52000105,8.2,8.25,8.8,7.5,9.0,7.25,7.92,,,,
52000106,7.4,7.25,7.8,,,,,7.25,7.0,8.75,7.67
52000107,8.2,6.75,8.0,7.0,3.75,6.0,5.58,,,,
52000108,7.2,5.0,7.6,5.5,6.5,5.0,5.67,,,,
52000109,7.0,7.25,9.4,,,,,7.5,6.5,9.0,7.67
52000110,5.2,6.25,2.2,,,,,3.25,5.5,6.5,5.08
52000111,8.2,8.5,9.2,6.5,5.75,7.0,6.42,,,,
52000112,6.8,7.0,6.8,,,,,6.25,6.25,8.75,7.08
52000113,7.6,6.5,,4.5,5.5,7.5,5.83,,,,
52000114,7.4,7.0,8.0,,,,,7.75,6.0,9.5,7.75
52000115,6.4,7.25,3.8,,,,,7.25,5.5,9.5,7.42
52000116,6.2,7.0,6.6,,,,,7.0,6.0,8.5,7.17
52000117,7.8,6.75,4.6,5.25,6.0,6.0,5.75,,,,
52000118,7.8,7.25,6.2,7.75,5.75,6.75,6.75,,,,
52000119,7.2,8.0,6.6,,,,,6.25,7.5,10.0,7.92
52000120,7.2,8.25,9.4,,,,,8.5,7.25,9.25,8.33
52000121,6.6,7.25,7.2,7.0,7.75,4.75,6.5,,,,
52000122,8.2,8.0,8.6,,,,,6.75,6.25,9.0,7.33
52000123,7.6,6.5,6.4,5.5,6.25,5.0,5.58,,,,
